title,house_type,price,size,construction_costs
Dom w mekintoszach 15,jednorodzinny parterowy,3600,88,246800
Dom w cytryńcach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,130,246900
Dom w perłówce 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,119,247200
Dom w malwach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,104,247400
Dom w zdrojówkach 10,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,101,247800
Dom pod liczi 4,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,107,248000
Dom w lucernie 11,jednorodzinny z poddaszem,3600,103,248700
Dom w aurorach 21 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,136,249500
Dom pod jarząbem 6,jednorodzinny parterowy,3600,136,249800
Dom w rumiankach 3 (A),jednorodzinny parterowy,3600,103,250200
Dom w pięknotkach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,137,250400
Dom pod jarząbem 15,jednorodzinny parterowy,3600,118,250800
Dom w rododendronach 4 (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,105,251200
Dom w żurawkach 7 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,100,251600
Dom pod iwą,jednorodzinny z poddaszem,3930,135,252000
Dom w przetacznikach,jednorodzinny z poddaszem,3600,109,252500
Willa Pola,"jednorodzinny piętrowy, z garażem jednostanowiskowym",3930,139,252800
Dom w malinówkach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,163,253000
Dom w lucernie 9,jednorodzinny z poddaszem,3600,134,253700
Dom w perłówce (NT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3370,127,254000
Dom w strelicjach (A),jednorodzinny z poddaszem,3600,147,254100
Dom pod jarząbem 12,jednorodzinny parterowy,3370,98,254400
Dom w perłówce (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,131,254700
Dom w poziomkach (PN),"jednorodzinny z poddaszem, z piwnicą",3930,97,254800
Willa Julia 7,"jednorodzinny piętrowy, z garażem jednostanowiskowym",3930,119,254900
Dom w jabłonkach 6 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,139,255200
Dom w rododendronach 4 (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,105,251200
Dom w żurawkach 7 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,100,251600
Dom pod iwą,jednorodzinny z poddaszem,3930,135,252000
Dom w przetacznikach,jednorodzinny z poddaszem,3600,109,252500
Willa Pola,"jednorodzinny piętrowy, z garażem jednostanowiskowym",3930,139,252800
Dom w malinówkach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,163,253000
Dom w lucernie 9,jednorodzinny z poddaszem,3600,134,253700
Dom w perłówce (NT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3370,127,254000
Dom w strelicjach (A),jednorodzinny z poddaszem,3600,147,254100
Dom pod jarząbem 12,jednorodzinny parterowy,3370,98,254400
Dom w perłówce (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,131,254700
Dom w poziomkach (PN),"jednorodzinny z poddaszem, z piwnicą",3930,97,254800
Willa Julia 7,"jednorodzinny piętrowy, z garażem jednostanowiskowym",3930,119,254900
Dom w jabłonkach 6 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,139,255200
Dom pod kasztanem 3 (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,116,255500
Dom w konwaliach,"jednorodzinny z poddaszem, ze stropem teriva",3930,118,255700
Dom w jabłonkach 6,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,157,256200
Dom w jabłonkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,123,256300
Dom w zdrojówkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,97,256900
Dom w amarylisach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,121,257300
Dom w bazylii 3,jednorodzinny parterowy,3600,129,257400
Dom w rukoli 6,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,119,257500
Willa Andrea,"jednorodzinny piętrowy, z garażem jednostanowiskowym",3930,133,257700
Dom w groszku 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,145,258200
Dom w ananasach (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,126,258800
Dom we frezjach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,128,258900
Dom pod kasztanem 2 (P),"jednorodzinny z poddaszem, z piwnicą",3930,113,259800
Dom pod kasztanem 3 (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,116,255500
Dom w konwaliach,"jednorodzinny z poddaszem, ze stropem teriva",3930,118,255700
Dom w jabłonkach 6,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,157,256200
Dom w jabłonkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,123,256300
Dom w zdrojówkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,97,256900
Dom w amarylisach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,121,257300
Dom w bazylii 3,jednorodzinny parterowy,3600,129,257400
Dom w rukoli 6,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,119,257500
Willa Andrea,"jednorodzinny piętrowy, z garażem jednostanowiskowym",3930,133,257700
Dom w groszku 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,145,258200
Dom w ananasach (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,126,258800
Dom we frezjach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,128,258900
Dom pod kasztanem 2 (P),"jednorodzinny z poddaszem, z piwnicą",3930,113,259800
Dom w szyszkowcach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,119,259900
Dom w filodendronach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,260100
Dom pod jarząbem 19,jednorodzinny parterowy,3600,127,260300
Dom w lipiennikach (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,143,260600
Dom w zdrojówkach 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,103,261000
Dom w akebiach 4,"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,106,261400
Dom w aurorach 7 (A),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,116,261400
Dom w wisteriach (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,125,261900
Dom w miodownikach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,136,262100
Dom w pauliniach 3,jednorodzinny parterowy,3600,98,262700
Dom w malinówkach 14 (GA),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,121,262900
Dom w kardamonie,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,107,263200
Dom w szyszkowcach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,119,259900
Dom w filodendronach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,260100
Dom pod jarząbem 19,jednorodzinny parterowy,3600,127,260300
Dom w lipiennikach (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,143,260600
Dom w zdrojówkach 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,103,261000
Dom w akebiach 4,"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,106,261400
Dom w aurorach 7 (A),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,116,261400
Dom w wisteriach (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,125,261900
Dom w miodownikach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,136,262100
Dom w pauliniach 3,jednorodzinny parterowy,3600,98,262700
Dom w malinówkach 14 (GA),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,121,262900
Dom w kardamonie,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,107,263200
Dom w renklodach 25,jednorodzinny parterowy,3600,119,263400
Dom w rododendronach 15 (NT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,122,263800
Dom w dzwonecznikach 2,jednorodzinny z poddaszem,3600,118,263900
Dom pod kaliną,jednorodzinny z poddaszem,3600,144,264100
Dom w szafirkach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,100,264200
Dom w lulo 5,jednorodzinny z poddaszem,3930,131,264300
Dom w żurawkach 4 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,132,264400
Dom w filodendronach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,142,264500
Dom w sasankach 3 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,142,264600
Dom w awokado (N),jednorodzinny z poddaszem,3600,124,264800
Dom w nerinach 2,"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,124,265200
Dom w wisteriach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,129,265600
Dom w żurawkach 5,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,109,265900
Dom w awokado,jednorodzinny z poddaszem,3600,116,266100
Dom w renklodach 25,jednorodzinny parterowy,3600,119,263400
Dom w rododendronach 15 (NT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,122,263800
Dom w dzwonecznikach 2,jednorodzinny z poddaszem,3600,118,263900
Dom pod kaliną,jednorodzinny z poddaszem,3600,144,264100
Dom w szafirkach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,100,264200
Dom w lulo 5,jednorodzinny z poddaszem,3930,131,264300
Dom w żurawkach 4 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3600,132,264400
Dom w filodendronach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,142,264500
Dom w sasankach 3 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,142,264600
Dom w awokado (N),jednorodzinny z poddaszem,3600,124,264800
Dom w nerinach 2,"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,124,265200
Dom w wisteriach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,129,265600
Dom w żurawkach 5,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,109,265900
Dom w awokado,jednorodzinny z poddaszem,3600,116,266100
Dom w lulo 2,jednorodzinny parterowy,3370,107,266200
Dom w balsamowcach 8,jednorodzinny z poddaszem,3930,121,266400
Dom w nerinach 3,"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,156,266700
Dom w aksamitkach (M),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,100,266800
Dom w cytryńcach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3600,126,267200
Dom w koniczynce 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,100,267200
Dom pod lukumą,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,127,268200
Dom w idaredach 3 (T),"jednorodzinny z poddaszem, ze stropem teriva",3600,115,268500
Dom w żurawkach 4,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,122,268600
Dom w gladiolach 2,jednorodzinny z poddaszem,3930,136,268600
Dom w złociszkach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,104,268900
Dom w silene,jednorodzinny z poddaszem,3930,114,269100
Dom w papawerach 5 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,119,269300
Dom w lulo 2,jednorodzinny parterowy,3370,107,266200
Dom w balsamowcach 8,jednorodzinny z poddaszem,3930,121,266400
Dom w nerinach 3,"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,156,266700
Dom w aksamitkach (M),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,100,266800
Dom w cytryńcach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3600,126,267200
Dom w koniczynce 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,100,267200
Dom pod lukumą,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,127,268200
Dom w idaredach 3 (T),"jednorodzinny z poddaszem, ze stropem teriva",3600,115,268500
Dom w żurawkach 4,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,122,268600
Dom w gladiolach 2,jednorodzinny z poddaszem,3930,136,268600
Dom w złociszkach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,104,268900
Dom w silene,jednorodzinny z poddaszem,3930,114,269100
Dom w papawerach 5 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,119,269300
Dom w wisteriach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,130,269500
Dom w aurorach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,137,269700
Dom w miodokwiatach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,109,269800
Dom w imbirze,jednorodzinny parterowy,3600,127,270400
Dom w lotosach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,121,270600
Dom w kordiach,jednorodzinny z poddaszem,3600,127,271100
Dom w salsefiach,jednorodzinny parterowy,3800,123,271200
Dom w wisteriach 8 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,136,271400
Dom w majeranku 2 (AT),"jednorodzinny z poddaszem, ze stropem teriva",3930,116,271800
Dom w jeżówkach,jednorodzinny z poddaszem,3930,131,272400
Dom w malinówkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,141,272900
Dom w lukrecji 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,110,273000
Dom w wisteriach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,130,269500
Dom w aurorach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,137,269700
Dom w miodokwiatach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,109,269800
Dom w imbirze,jednorodzinny parterowy,3600,127,270400
Dom w lotosach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,121,270600
Dom w kordiach,jednorodzinny z poddaszem,3600,127,271100
Dom w salsefiach,jednorodzinny parterowy,3800,123,271200
Dom w wisteriach 8 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,136,271400
Dom w majeranku 2 (AT),"jednorodzinny z poddaszem, ze stropem teriva",3930,116,271800
Dom w jeżówkach,jednorodzinny z poddaszem,3930,131,272400
Dom w malinówkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,141,272900
Dom w lukrecji 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,110,273000
Dom w majeranku 2 (N),jednorodzinny z poddaszem,3930,146,273200
Dom w idaredach (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,109,273700
Dom w malinówkach 3 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,125,273800
Dom w balsamowcach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,150,274000
Dom pod pinią 2,jednorodzinny parterowy,3600,113,274600
Dom w skrzydłokwiatach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,115,274700
Dom w abeliach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,103,274900
Dom w morelach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,144,275400
Dom w lobeliach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,123,275500
Dom w tymianku 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,113,275900
Dom w leszczynowcach 6 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,119,276300
Dom w majeranku 2 (N),jednorodzinny z poddaszem,3930,146,273200
Dom w idaredach (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,109,273700
Dom w malinówkach 3 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,125,273800
Dom w balsamowcach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,150,274000
Dom pod pinią 2,jednorodzinny parterowy,3600,113,274600
Dom w skrzydłokwiatach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,115,274700
Dom w abeliach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,103,274900
Dom w morelach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,144,275400
Dom w lobeliach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,123,275500
Dom w tymianku 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,113,275900
Dom w leszczynowcach 6 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,119,276300
Dom w morelach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,143,276400
Dom w nolanach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,276700
Dom w złoci (G2A),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,109,277300
Dom w renklodach 20,jednorodzinny parterowy,3600,148,277400
Dom w malinówkach 16 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,130,277500
Dom w werbenach 7,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,119,277900
Dom w werbenach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,121,278100
Dom w poziomkach 7 (P),"jednorodzinny z poddaszem, z piwnicą",3930,135,278400
Dom w firletkach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,137,278600
Dom w zdrojówkach 12,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,129,278700
Dom w renklodach 26 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,140,279000
Dom w balsamowcach (A),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,279200
Dom w filodendronach (M),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,127,279300
Dom w morelach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,143,276400
Dom w nolanach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,276700
Dom w złoci (G2A),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,109,277300
Dom w renklodach 20,jednorodzinny parterowy,3600,148,277400
Dom w malinówkach 16 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,130,277500
Dom w werbenach 7,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,119,277900
Dom w werbenach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,121,278100
Dom w poziomkach 7 (P),"jednorodzinny z poddaszem, z piwnicą",3930,135,278400
Dom w firletkach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,137,278600
Dom w zdrojówkach 12,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,129,278700
Dom w renklodach 26 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,140,279000
Dom w balsamowcach (A),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,279200
Dom w filodendronach (M),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,127,279300
